  HEAD         NAME                MAC        RSSI      LAT                  LON
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -80  30.5478762           104.0586605
$TRUPS                                             30.54793637          104.05869018

  HEAD         NAME                MAC        RSSI      LAT                  LON
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -76  30.5479558           104.0585676
$APMSG ope_6                cf:e2:28:94:d7:06 -68  30.5478804           104.0587283
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -80  30.5478762           104.0586605
$APMSG ope_6                cf:e2:28:94:d7:06 -68  30.5478804           104.0587283
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -63  30.5479469           104.0586527
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -62  30.5479457           104.0587305
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_1                cf:e2:28:94:d7:01 -79  30.5478722           104.0585676
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -77  30.5479558           104.0585676
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -64  30.5479469           104.0586527
$APMSG ope_1                cf:e2:28:94:d7:01 -77  30.5478722           104.0585676
$APMSG ope_6                cf:e2:28:94:d7:06 -65  30.5478804           104.0587283
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -82  30.5478762           104.0586605
$TRUPS                                             30.54793637          104.05869018

  HEAD         NAME                MAC        RSSI      LAT                  LON
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -62  30.5479457           104.0587305
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -76  30.5479558           104.0585676
$APMSG ope_1                cf:e2:28:94:d7:01 -76  30.5478722           104.0585676
$APMSG ope_6                cf:e2:28:94:d7:06 -67  30.5478804           104.0587283
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -77  30.5479558           104.0585676
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -63  30.5479469           104.0586527
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -79  30.5478762           104.0586605
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -62  30.5479457           104.0587305
$APMSG ope_1                cf:e2:28:94:d7:01 -77  30.5478722           104.0585676
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -80  30.5478762           104.0586605
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -65  30.5479469           104.0586527
$APMSG ope_1                cf:e2:28:94:d7:01 -77  30.5478722           104.0585676
$TRUPS                                             30.54793637          104.05869018

  HEAD         NAME                MAC        RSSI      LAT                  LON
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_6                cf:e2:28:94:d7:06 -67  30.5478804           104.0587283
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -77  30.5479558           104.0585676
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -65  30.5479469           104.0586527
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -63  30.5479469           104.0586527
$APMSG ope_1                cf:e2:28:94:d7:01 -77  30.5478722           104.0585676
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -81  30.5478762           104.0586605
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -77  30.5479558           104.0585676
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -60  30.5479457           104.0587305
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -81  30.5478762           104.0586605
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -63  30.5479469           104.0586527
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -61  30.5479469           104.0586527
$APMSG ope_1                cf:e2:28:94:d7:01 -76  30.5478722           104.0585676
$APMSG ope_6                cf:e2:28:94:d7:06 -66  30.5478804           104.0587283
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -81  30.5478762           104.0586605
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -78  30.5479558           104.0585676
$TRUPS                                             30.54793637          104.05869018

  HEAD         NAME                MAC        RSSI      LAT                  LON
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -65  30.5479469           104.0586527
$APMSG ope_6                cf:e2:28:94:d7:06 -67  30.5478804           104.0587283
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$TRUPS                                             30.54793637          104.05869018

  HEAD         NAME                MAC        RSSI      LAT                  LON
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_1                cf:e2:28:94:d7:01 -75  30.5478722           104.0585676
$APMSG ope_6                cf:e2:28:94:d7:06 -67  30.5478804           104.0587283
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -77  30.5479558           104.0585676
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -77  30.5479558           104.0585676
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -63  30.5479469           104.0586527
$APMSG ope_6                cf:e2:28:94:d7:06 -67  30.5478804           104.0587283
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -63  30.5479469           104.0586527
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -77  30.5479558           104.0585676
$APMSG ope_6                cf:e2:28:94:d7:06 -67  30.5478804           104.0587283
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -63  30.5479469           104.0586527
$TRUPS                                             30.54793637          104.05869018

  HEAD         NAME                MAC        RSSI      LAT                  LON
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -77  30.5479558           104.0585676
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_1                cf:e2:28:94:d7:01 -75  30.5478722           104.0585676
$APMSG ope_1                cf:e2:28:94:d7:01 -76  30.5478722           104.0585676
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -63  30.5479469           104.0586527
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -78  30.5479558           104.0585676
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_1                cf:e2:28:94:d7:01 -76  30.5478722           104.0585676
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -77  30.5479558           104.0585676
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -80  30.5478762           104.0586605
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -77  30.5479558           104.0585676
$TRUPS                                             30.54793637          104.05869018

  HEAD         NAME                MAC        RSSI      LAT                  LON
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_1                cf:e2:28:94:d7:01 -76  30.5478722           104.0585676
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -63  30.5479469           104.0586527
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -78  30.5479558           104.0585676
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -63  30.5479469           104.0586527
$APMSG ope_6                cf:e2:28:94:d7:06 -66  30.5478804           104.0587283
$APMSG ope_1                cf:e2:28:94:d7:01 -76  30.5478722           104.0585676
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -78  30.5479558           104.0585676
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -60  30.5479457           104.0587305
$APMSG ope_6                cf:e2:28:94:d7:06 -70  30.5478804           104.0587283
$TRUPS                                             30.54793637          104.05869018

  HEAD         NAME                MAC        RSSI      LAT                  LON
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -81  30.5478762           104.0586605
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -79  30.5479558           104.0585676
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_6                cf:e2:28:94:d7:06 -66  30.5478804           104.0587283
$APMSG ope_1                cf:e2:28:94:d7:01 -76  30.5478722           104.0585676
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -82  30.5478762           104.0586605
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -63  30.5479469           104.0586527
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_1                cf:e2:28:94:d7:01 -76  30.5478722           104.0585676
$APMSG ope_6                cf:e2:28:94:d7:06 -68  30.5478804           104.0587283
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -79  30.5479558           104.0585676
$APMSG ope_1                cf:e2:28:94:d7:01 -76  30.5478722           104.0585676
$TRUPS                                             30.54793637          104.05869018

  HEAD         NAME                MAC        RSSI      LAT                  LON
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -82  30.5478762           104.0586605
$APMSG ope_6                cf:e2:28:94:d7:06 -67  30.5478804           104.0587283
$APMSG ope_1                cf:e2:28:94:d7:01 -76  30.5478722           104.0585676
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_6                cf:e2:28:94:d7:06 -67  30.5478804           104.0587283
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -79  30.5479558           104.0585676
$TRUPS                                             30.54793637          104.05869018

  HEAD         NAME                MAC        RSSI      LAT                  LON
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_1                cf:e2:28:94:d7:01 -75  30.5478722           104.0585676
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_6                cf:e2:28:94:d7:06 -67  30.5478804           104.0587283
$APMSG ope_1                cf:e2:28:94:d7:01 -75  30.5478722           104.0585676
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -64  30.5479469           104.0586527
$APMSG ope_6                cf:e2:28:94:d7:06 -65  30.5478804           104.0587283
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_1                cf:e2:28:94:d7:01 -75  30.5478722           104.0585676
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_6                cf:e2:28:94:d7:06 -66  30.5478804           104.0587283
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -79  30.5479558           104.0585676
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -84  30.5478762           104.0586605
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -63  30.5479469           104.0586527
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_1                cf:e2:28:94:d7:01 -75  30.5478722           104.0585676
$APMSG ope_6                cf:e2:28:94:d7:06 -66  30.5478804           104.0587283
$TRUPS                                             30.54793637          104.05869018

  HEAD         NAME                MAC        RSSI      LAT                  LON
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -86  30.5478762           104.0586605
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -61  30.5479469           104.0586527
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_1                cf:e2:28:94:d7:01 -76  30.5478722           104.0585676
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -79  30.5479558           104.0585676
$APMSG ope_1                cf:e2:28:94:d7:01 -76  30.5478722           104.0585676
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -84  30.5478762           104.0586605
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_6                cf:e2:28:94:d7:06 -69  30.5478804           104.0587283
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -80  30.5479558           104.0585676
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -63  30.5479469           104.0586527
$TRUPS                                             30.54793637          104.05869018

  HEAD         NAME                MAC        RSSI      LAT                  LON
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -62  30.5479457           104.0587305
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -63  30.5479469           104.0586527
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -62  30.5479457           104.0587305
$APMSG ope_6                cf:e2:28:94:d7:06 -66  30.5478804           104.0587283
$APMSG ope_1                cf:e2:28:94:d7:01 -76  30.5478722           104.0585676
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_1                cf:e2:28:94:d7:01 -77  30.5478722           104.0585676
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$TRUPS                                             30.54793637          104.05869018

  HEAD         NAME                MAC        RSSI      LAT                  LON
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_6                cf:e2:28:94:d7:06 -64  30.5478804           104.0587283
$APMSG ope_1                cf:e2:28:94:d7:01 -77  30.5478722           104.0585676
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -64  30.5479469           104.0586527
$APMSG ope_6                cf:e2:28:94:d7:06 -65  30.5478804           104.0587283
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -78  30.5479558           104.0585676
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -63  30.5479469           104.0586527
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -78  30.5479558           104.0585676
$APMSG ope_6                cf:e2:28:94:d7:06 -66  30.5478804           104.0587283
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -88  30.5478762           104.0586605
$APMSG ope_1                cf:e2:28:94:d7:01 -75  30.5478722           104.0585676
$TRUPS                                             30.54793637          104.05869018

  HEAD         NAME                MAC        RSSI      LAT                  LON
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_6                cf:e2:28:94:d7:06 -66  30.5478804           104.0587283
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -79  30.5479558           104.0585676
$APMSG ope_1                cf:e2:28:94:d7:01 -74  30.5478722           104.0585676
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -62  30.5479457           104.0587305
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_1                cf:e2:28:94:d7:01 -75  30.5478722           104.0585676
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$TRUPS                                             30.54793637          104.05869018

  HEAD         NAME                MAC        RSSI      LAT                  LON
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -79  30.5479558           104.0585676
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -86  30.5478762           104.0586605
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -78  30.5479558           104.0585676
$APMSG ope_1                cf:e2:28:94:d7:01 -75  30.5478722           104.0585676
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_6                cf:e2:28:94:d7:06 -67  30.5478804           104.0587283
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -79  30.5479558           104.0585676
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_1                cf:e2:28:94:d7:01 -74  30.5478722           104.0585676
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$TRUPS                                             30.54793637          104.05869018

  HEAD         NAME                MAC        RSSI      LAT                  LON
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_6                cf:e2:28:94:d7:06 -66  30.5478804           104.0587283
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -84  30.5478762           104.0586605
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_6                cf:e2:28:94:d7:06 -67  30.5478804           104.0587283
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_1                cf:e2:28:94:d7:01 -75  30.5478722           104.0585676
$APMSG ope_6                cf:e2:28:94:d7:06 -67  30.5478804           104.0587283
$APMSG ope_1                cf:e2:28:94:d7:01 -74  30.5478722           104.0585676
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -62  30.5479457           104.0587305
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -80  30.5479558           104.0585676
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -83  30.5478762           104.0586605
$TRUPS                                             30.54793637          104.05869018

  HEAD         NAME                MAC        RSSI      LAT                  LON
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_6                cf:e2:28:94:d7:06 -66  30.5478804           104.0587283
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -65  30.5479469           104.0586527
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -62  30.5479457           104.0587305
$APMSG ope_6                cf:e2:28:94:d7:06 -66  30.5478804           104.0587283
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -83  30.5478762           104.0586605
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -82  30.5478762           104.0586605
$APMSG ope_1                cf:e2:28:94:d7:01 -75  30.5478722           104.0585676
$APMSG ope_6                cf:e2:28:94:d7:06 -64  30.5478804           104.0587283
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$TRUPS                                             30.54793637          104.05869018

  HEAD         NAME                MAC        RSSI      LAT                  LON
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_6                cf:e2:28:94:d7:06 -65  30.5478804           104.0587283
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -63  30.5479469           104.0586527
$APMSG ope_6                cf:e2:28:94:d7:06 -65  30.5478804           104.0587283
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -79  30.5479558           104.0585676
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_1                cf:e2:28:94:d7:01 -75  30.5478722           104.0585676
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_6                cf:e2:28:94:d7:06 -65  30.5478804           104.0587283
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -84  30.5478762           104.0586605
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -82  30.5478762           104.0586605
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -77  30.5479558           104.0585676
$APMSG ope_1                cf:e2:28:94:d7:01 -74  30.5478722           104.0585676
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_6                cf:e2:28:94:d7:06 -65  30.5478804           104.0587283
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -63  30.5479469           104.0586527
$TRUPS                                             30.54793637          104.05869018

  HEAD         NAME                MAC        RSSI      LAT                  LON
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -63  30.5479457           104.0587305
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -76  30.5479558           104.0585676
$APMSG ope_6                cf:e2:28:94:d7:06 -65  30.5478804           104.0587283
$APMSG ope_6                cf:e2:28:94:d7:06 -65  30.5478804           104.0587283
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -79  30.5478762           104.0586605
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -85  30.5479558           104.0585676
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -83  30.5479558           104.0585676
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_1                cf:e2:28:94:d7:01 -75  30.5478722           104.0585676
$APMSG ope_6                cf:e2:28:94:d7:06 -66  30.5478804           104.0587283
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -61  30.5479469           104.0586527
$TRUPS                                             30.54793637          104.05869018

  HEAD         NAME                MAC        RSSI      LAT                  LON
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_1                cf:e2:28:94:d7:01 -74  30.5478722           104.0585676
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -62  30.5479457           104.0587305
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_1                cf:e2:28:94:d7:01 -76  30.5478722           104.0585676
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_6                cf:e2:28:94:d7:06 -67  30.5478804           104.0587283
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -80  30.5479558           104.0585676
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -77  30.5478762           104.0586605
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -76  30.5478762           104.0586605
$TRUPS                                             30.54793637          104.05869018

  HEAD         NAME                MAC        RSSI      LAT                  LON
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -60  30.5479457           104.0587305
$APMSG ope_1                cf:e2:28:94:d7:01 -74  30.5478722           104.0585676
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -61  30.5479469           104.0586527
$APMSG ope_1                cf:e2:28:94:d7:01 -74  30.5478722           104.0585676
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -61  30.5479469           104.0586527
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -75  30.5479558           104.0585676
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -79  30.5478762           104.0586605
$APMSG ope_1                cf:e2:28:94:d7:01 -77  30.5478722           104.0585676
$APMSG ope_1                cf:e2:28:94:d7:01 -76  30.5478722           104.0585676
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -58  30.5479457           104.0587305
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -75  30.5479558           104.0585676
$APMSG ope_1                cf:e2:28:94:d7:01 -77  30.5478722           104.0585676
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$TRUPS                                             30.54793637          104.05869018

  HEAD         NAME                MAC        RSSI      LAT                  LON
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -64  30.5479469           104.0586527
$APMSG ope_6                cf:e2:28:94:d7:06 -65  30.5478804           104.0587283
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -80  30.5479558           104.0585676
$APMSG ope_6                cf:e2:28:94:d7:06 -65  30.5478804           104.0587283
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -78  30.5478762           104.0586605
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_1                cf:e2:28:94:d7:01 -78  30.5478722           104.0585676
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -77  30.5479558           104.0585676
$TRUPS                                             30.54793637          104.05869018

  HEAD         NAME                MAC        RSSI      LAT                  LON
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_6                cf:e2:28:94:d7:06 -67  30.5478804           104.0587283
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_1                cf:e2:28:94:d7:01 -77  30.5478722           104.0585676
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_6                cf:e2:28:94:d7:06 -65  30.5478804           104.0587283
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -81  30.5479558           104.0585676
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_0                aa:aa:aa:aa:aa:a0 -80  30.5478762           104.0586605
$APMSG ope_1                cf:e2:28:94:d7:01 -77  30.5478722           104.0585676
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -61  30.5479469           104.0586527
$APMSG ope_6                cf:e2:28:94:d7:06 -65  30.5478804           104.0587283
$APMSG ope_1                cf:e2:28:94:d7:01 -77  30.5478722           104.0585676
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$TRUPS                                             30.54793637          104.05869018

  HEAD         NAME                MAC        RSSI      LAT                  LON
------ -------------------- ----------------- ---- -------------------- --------------------
$APMSG ope_9                aa:aa:aa:aa:aa:a9 -61  30.5479457           104.0587305
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -61  30.5479469           104.0586527
$APMSG ope_6                cf:e2:28:94:d7:06 -65  30.5478804           104.0587283
$APMSG ope_7                aa:aa:aa:aa:aa:a7 -78  30.5479558           104.0585676
$APMSG ope_8                aa:aa:aa:aa:aa:a8 -62  30.5479469           104.0586527
$APMSG ope_1                cf:e2:28:94:d7:01 -76  30.5478722           104.0585676
